GLN Proveedor CPP                  Descripción                                                                   GTIN13 Pide x unid Unid/c 
7737001070017 160031               DOVE CR AUTOBR SUMMER T BCA CLARA12X200M                               7898422748692 N               12 
7737001070017 160046               CIF POWER CREAM COCINA GTL 12X500ML                                    7791290782334 N               12 
7737001070017 160050               CIF POWER CREAM BANO GTL 12X500ML                                      7791290782310 N               12 
7737001070017 160322               NEVEX M C/TOQ VIVERE VIOL FL BCA 24X400G                               7791290782631 N               24 
7737001070017 160323               NEVEX M C/TOQ VIVERE VIOL FL BCA 24X800G                               7791290782624 N               24 
7737001070017 160324               NEVEX REG TOQ VIVERE VIOL FL BCA 24X800G                               7791290782617 N               24 
7737001070017 160383               REXONA DEO STICK AP V8 12X50GR                                              75024956 N               12 
7737001070017 161853               SKIP LIQ CONC 12X270ML                                                 7791290782587 N               12 
7737001070017 161876               SKIP LIQ CONC 12X500ML                                                 7791290782594 N               12 
7737001070017 162408               REXONA DEO ROLLON V8 12X53GR/50ML                                           78921993 N               12 
7737001070017 162448               SKIP LIQ CONC 12X1LT                                                   7791290782600 N               12 
7737001070017 162949               CIF ANTIG DOYP 4X500ML+BANO+VIDRIOS+20%                                7730165320790 N                4 
7737001070017 163079               NEVEX MATIC POLVO BABY 24X800GR                                        7791290782730 N               24 
7737001070017 163243               AXE GEL DUCHA CLICK 12X250ML/258GR                                     7791293021355 N               12 
7737001070017 163250               AXE GEL DUCHA VICE 12X250ML/258GR                                      7791293021362 N               12 
7737001070017 163252               AXE GEL DUCHA TOUCH 12X250ML/258GR                                     7791293021379 N               12 
7737001070017 163255               AXE GEL DUCHA MARINE 12X250ML/258GR                                    7791293021386 N               12 
7737001070017 164015               REXONA DEO AER AP WOMEN CRYSTAL 12X105GR                               7791293006420 N               12 
7737001070017 164021               REXONA DEO AER AP WOMEN CITRUS 12X105GR                                7791293004020 N               12 
7737001070017 164024               REXONA DEO AER AP WOMEN BAMBOO 12X105GR                                7791293884592 N               12 
7737001070017 164053               REXONA DEO AER AP B ACT SENSIT 12X105GR                                7791293001425 N               12 
7737001070017 164069               REXONA DEO AER MEN FRESH MAXIMUS12X113GR                               7791293004266 N               12 
7737001070017 164076               REXONA DEO AER MEN FRESH COBALT 12X113GR                               7791293000121 N               12 
7737001070017 164128               REXONA DEO AER AP WOMEN INTENSE 12X105GR                               7791293974224 N               12 
7737001070017 164129               REXONA DEO AER MEN B ACT POWER 12X105GR                                7791293974217 N               12 
7737001070017 164131               REXONA EFFICIENT AER 12X102GR                                          7791293895062 N               12 
7737001070017 164448               DOVE AC CONTROL QUEDA THERAPY 12X250ML                                 7898422747923 N               12 
7737001070017 164449               DOVE AC CONTROL QUEDA THERAPY 12X400ML                                 7898422749156 N               12 
7737001070017 164459               DOVE MASC TRAT CONTR CAIDA THER 12X250ML                               7898422747947 N               12 
7737001070017 164467               DOVE SH CONTROL CAIDA THERAPY 12X400ML                                 7898422749163 N               12 
7737001070017 164473               DOVE SH CONTROL QUEDA THERAPY 12X250ML                                 7898422747916 N               12 
7737001070017 164643               REXONA DEO ROLLON INTENSE 12X53GR/50ML                                      78922099 N               12 
7737001070017 164648               REXONA DEO ROL FOR MAN POWER12X53GR/50ML                                    78922082 N               12 
7737001070017 164961               HUGGIES CLASSIC WAVE PEQ 16X14UN                                       7794626923050 N               16 
7737001070017 164963               HUGGIES CLASSIC WAVE MED 15X12UN                                       7794626923067 N               15 
7737001070017 164965               HUGGIES CLASSIC WAVE GDE 10X10UN                                       7794626923074 N               10 
7737001070017 164967               HUGGIES CLASSIC WAVE XXGDE 16X8UN                                      7794626923098 N               16 
7737001070017 164969               HUGGIES CLASSIC WAVE MED 10X18UN                                       7794626923111 N               10 
7737001070017 164971               HUGGIES CLASSIC WAVE GDE 10X16UN                                       7794626923128 N               10 
7737001070017 164973               HUGGIES CLASSIC WAVE XGDE 16X14UN                                      7794626923135 N               16 
7737001070017 164976               HUGGIES CLASSIC WAVE XXGDE16X14UN                                      7794626923142 N               16 
7737001070017 164980               HUGGIES CLASSIC WAVE PEQ 5X40UN                                        7794626923159 N                5 
7737001070017 164982               HUGGIES CLASSIC WAVE MED 5X36UN                                        7794626923166 N                5 
7737001070017 164983               HUGGIES CLASSIC WAVE GDE 5X30UN                                        7794626923173 N                5 
7737001070017 164985               HUGGIES CLASSIC WAVE XGDE 10X24UN                                      7794626923180 N               10 
7737001070017 164986               HUGGIES CLASSIC WAVE XXGDE 10X24UN                                     7794626923197 N               10 
7737001070017 165614               HUGGIES PULL UPS UNISEX GDE 6X12UN                                     7809604012074 N                6 
7737001070017 165662               HUGGIES PULL UPS UNISEX XGDE 6X10UN                                    7809604012043 N                6 
7737001070017 165668               HUGGIES PULL UPS UNISEX XXGDE 6X8UN                                    7809604012050 N                6 
7737001070017 165980               AXE DEO AER AP VICE 12X90GR/152ML                                      7791293009179 N               12 
7737001070017 165983               AXE DEO AER AP CONVICTION 12X90GR/152ML                                7791293999715 N               12 
7737001070017 165984               AXE DEO AER AP CLICK 12X90GR/152ML                                     7791293005584 N               12 
7737001070017 165989               AXE DEO AER MUSK 12X113GR/160ML                                        7791293022130 N               12 
7737001070017 165990               AXE DEO AER MARINE 12X113GR/160ML                                      7791293022437 N               12 
7737001070017 165992               AXE DEO AER FUSION 12X113GR/160ML                                      7791293028187 N               12 
7737001070017 165995               AXE DEO AER CONVICTION 12X113GR/160ML                                  7791293127767 N               12 
7737001070017 165997               AXE DEO AER CLICK 12X113GR/160ML                                       7791293005577 N               12 
7737001070017 165999               AXE DEO AER BODYSPRAY VICE 12X113GR                                    7791293009193 N               12 
7737001070017 166166               NEVEX JAB BAR 84X200GR                                                 7791290677937 N               84 
7737001070017 166340               DOVE AC CACHOS THERAPY 12X250ML                                        7898422744939 N               12 
7737001070017 166341               DOVE AC DANO ACUMULADO THERAPY 12X250ML                                7891037013582 N               12 
7737001070017 166342               DOVE SH DANO ACUMULADO THERAPY 12X250ML                                7891037013551 N               12 
7737001070017 166343               DOVE MASC TRAT COL THER DESCOL 12X250ML                                7898422742669 N               12 
7737001070017 166344               DOVE SH HIDRO THERAPY 12X250ML                                         7891037013544 N               12 
7737001070017 166345               DOVE SH CACHOS THERAPY 12X250ML                                        7898422744946 N               12 
7737001070017 166347               DOVE SH COLOR THER CAB ACLARADO 12X250ML                               7898422742560 N               12 
7737001070017 166348               DOVE AC HIDRO THERAPY 12X250ML                                         7891037013575 N               12 
7737001070017 166349               DOVE CR PEINAR HIDRO THERAPY 12X215ML                                  7891037013599 N               12 
7737001070017 166350               DOVE CR PEINAR DANO ACUM THER 12X200ML                                 7891037013629 N               12 
7737001070017 166351               DOVE AC COLOR THER CAB ACLARADO 12X250ML                               7898422742584 N               12 
7737001070017 166352               DOVE CR PEINAR RIZOS THERAPY 12X200ML                                  7898422744915 N               12 
7737001070017 166536               DOVE MASC TRAT DANO ACUM THER 12X250ML                                 7898422749064 N               12 
7737001070017 166540               DOVE AC LISOS THERAPY 12X250ML                                         7898422745288 N               12 
7737001070017 166541               DOVE CR PEIN LISOS THERAPY 12X200ML                                    7898422745295 N               12 
7737001070017 166548               DOVE SH LISOS THERAPY 12X250ML                                         7898422745264 N               12 
7737001070017 166555               DOVE AC COLOR THERAPY TENIDO 12X250ML                                  7898422742706 N               12 
7737001070017 166557               DOVE MASC TRAT COLOR THER TENI 12X250ML                                7898422742676 N               12 
7737001070017 166558               DOVE SH COLOR THERAPY TENIDOS 12X250ML                                 7898422742577 N               12 
7737001070017 166575               DOVE AC RIZOS THERAPY 12X400ML                                         7791293006857 N               12 
7737001070017 166591               REXONA DEO STICK POWER 12X50GR                                              75025274 N               12 
7737001070017 166594               REXONA DEO STICK INTENSE 12X50GR                                            75025267 N               12 
7737001070017 166639               DOVE SH RIZOS THERAPY 12X400ML                                         7791293006840 N               12 
7737001070017 166640               DOVE SH DANO ACUM THERAPY 12X400ML                                     7791293005010 N               12 
7737001070017 166642               DOVE AC DANO ACUM THERAPY 12X400ML                                     7791293004976 N               12 
7737001070017 166644               DOVE AC HIDRO THERAPY 12X400ML                                         7791293004983 N               12 
7737001070017 166645               DOVE SH HIDRO THERAPY 12X400ML                                         7791293005027 N               12 
7737001070017 166646               DOVE AC LISO THERAPY 12X400ML                                          7791293006819 N               12 
7737001070017 166651               DOVE SH LISO THERAPY 12X400ML                                          7791293006802 N               12 
7737001070017 167973               REXONA JAB PURE FRESH 72X125GR                                         7791293990132 N               72 
7737001070017 167974               REXONA JAB V8 72X125GR                                                 7791293990330 N               72 
7737001070017 168068               REXONA JAB PURE FRESH 24X3X125GR                                       7791293990163 N               24 
7737001070017 168070               REXONA JAB V8 24X3X125GR                                               7791293990361 N               24 
7737001070017 168647               REXONA DEO AER AP WOMEN HAPPY 12X135ML                                 7791293995588 N               12 
7737001070017 168648               REXONA DEO AER AP WOMEN SHINY 12X135ML                                 7791293995595 N               12 
7737001070017 168654               REXONA DEO AER AP WOMEN SEXY 12X135ML                                  7791293995571 N               12 
7737001070017 168927               LIGHTDAYS P D MFORMA S/PERF DERM 48X20UN                               7793620923578 N               48 
7737001070017 168932               LIGHTDAYS P D MFORMA S/PERF DERM12X120UN                               7793620923585 N               12 
7737001070017 168933               LIGHTDAYS P D MFORMA C/PERF DERM 48X20UN                               7793620923592 N               48 
7737001070017 168936               LIGHTDAYS P D MFORMA C/ALAS DERM 48X20UN                               7793620923608 N               48 
7737001070017 168941               LIGHTDAYS P D CLASSIC DERM 15X80UN                                     7793620923646 N               15 
7737001070017 168943               LIGHTDAYS P D SENSITIVE DERM 15X80UN                                   7793620923653 N               15 
7737001070017 168944               LIGHTDAYS P D CLASSIC DERM 48X20UN                                     7793620923615 N               48 
7737001070017 168946               LIGHTDAYS P D SENSITIVE DERM 48X20UN                                   7793620923622 N               48 
7737001070017 168948               LIGHTDAYS P D MFORMA S/PERF DERM 12X80UN                               7793620923639 N               12 
7737001070017 168987               DOVE JAB REGULAR 12X4X90GR PRM 4X3                                     7730165321537 N               12 
7737001070017 169019               SCOTT PAPEL HIG SHJ EXTR ALG 30MT 8X6UN                                7798038157447 N                8 
7737001070017 169021               SCOTT PAPEL HIG SHJ EXTR ALG 30MT 4X12UN                               7798038157461 N                4 
7737001070017 169022               SCOTT PAPEL HIG 30MT SHJ EXTR ALG 12X4UN                               7798038157430 N               12 
7737001070017 169023               SCOTT PAP HIG MEGA SHJ EXT ALG 90M12X4UN                               7798038157485 N               12 
7737001070017 169031               SCOTT P H PLUS DOB HOJA 20MT 12X4UN+ABS                                7798038157515 N               12 
7737001070017 169224               NEVEX LV VAJ PODER NATURALEZA 15X750ML                                 7730165319183 N               15 
7737001070017 169226               NEVEX LV VAJ ALOE VERA 15X750ML                                        7730165317486 N               15 
7737001070017 169227               NEVEX LV VAJ LIMON 15X750ML                                            7730165317479 N               15 
7737001070017 169228               NEVEX LV VAJ LIMON 12X1250ML                                           7730165317424 N               12 
7737001070017 169230               NEVEX LV VAJ ALOE VERA 12X1250ML                                       7730165317448 N               12 
7737001070017 169231               NEVEX LV VAJ CLASICO 12X1250ML                                         7730165318087 N               12 
7737001070017 169232               NEVEX LV VAJ COLAGENO GLIC 12X1250ML                                   7730165318094 N               12 
7737001070017 169233               NEVEX LV VAJ PODER NATURALEZA 12X1250ML                                7730165319190 N               12 
7737001070017 169234               NEVEX LV VAJ LIMON 6X2LT                                               7730165317493 N                6 
7737001070017 169788               SUAVE SH PALTA Y OLIVA 8X930ML                                         7791293973173 N                8 
7737001070017 169789               SUAVE SH MIEL Y ALMENDRAS 8X930ML                                      7791293973197 N                8 
7737001070017 169790               SUAVE SH COCO Y LECHE 8X930ML                                          7791293973210 N                8 
7737001070017 169792               SUAVE SH VAINILLA Y CANELA 8X930ML                                     7791293973234 N                8 
7737001070017 169803               SUAVE AC PALTA Y OLIVA 8X930ML                                         7791293973180 N                8 
7737001070017 169804               SUAVE AC MIEL Y ALMENDRAS 8X930ML                                      7791293973203 N                8 
7737001070017 169806               SUAVE AC COCO Y LECHE 8X930ML                                          7791293973227 N                8 
7737001070017 169810               SUAVE AC VAINILLA Y CANELA 8X930ML                                     7791293973241 N                8 
7737001070017 169820               PATRICHS DEO AER AIR 12X105GR                                          7791293689104 N               12 
7737001070017 169822               PATRICHS DEO AER TERRA 12X105GR                                        7791293689128 N               12 
7737001070017 169824               PATRICHS DEO AER LUOMO 12X105GR                                        7791293689111 N               12 
7737001070017 169828               LUX JAB BRILLA 72X125GR                                                7791293983806 N               72 
7737001070017 169829               LUX JAB EXFOLIACION DELICADA 72X125GR                                  7791293983851 N               72 
7737001070017 169922               LUX JAB EXFOLIACION DELICADA 24X3X125GR                                7791293983899 N               24 
7737001070017 169923               DOVE DEO AER AP PRO AGE 12X100GR                                       7791293067049 N               12 
7737001070017 170179               SKIP POLVO GLICERYN COMPLEX 24X800GR                                   7791290783089 N               24 
7737001070017 170182               SKIP POLVO SISTEMA ULTRA BLACK 24X800GR                                7791290783133 N               24 
7737001070017 170183               SKIP POLVO SISTEMA UV COLOR 24X800GR                                   7791290783140 N               24 
7737001070017 170219               SKIP POLVO GLICERYN COMPLEX 24X400GR                                   7791290783072 N               24 
7737001070017 170221               SKIP POLVO GLICERYN COMPLEX 4X4KG                                      7791290783119 N                4 
7737001070017 170222               SKIP POLVO GLICERYN COMPLEX 6X3KG                                      7791290783102 N                6 
7737001070017 170223               SKIP POLVO GLICERYN COMPLEX 15X1,5KG                                   7791290783096 N               15 
7737001070017 170469               SCOTT P HIG PLUS DOB HOJA 20MT 8X6UN+ABS                               7798038157522 N                8 
7737001070017 170503               AXE SHOWER GEL CLICK 6X250ML PRM ESPJ                                  7791293528205 N                6 
7737001070017 170742               REXONA TEENS AER AP DANCE 12X60G ED LTDA                               7791293357669 N               12 
7737001070017 171460               HUGGIES ACTIVE SEC SPONGE GDE 10X10UN                                  7794626922886 N               10 
7737001070017 171463               HUGGIES ACTIVE SEC SPONGE XGDE 16X8UN                                  7794626922893 N               16 
7737001070017 171468               NEVEX MATIC POLVO C/VIVERE CLAS 24X800GR                               7791290783294 N               24 
7737001070017 171473               HUGGIES ACTIVE SEC SPONGE XXGDE 10X24UN                                7794626922992 N               10 
7737001070017 171477               HUGGIES ACTIVE SEC SPONGE MED 10X18UN                                  7794626922923 N               10 
7737001070017 171478               HUGGIES ACTIVE SEC SPONGE GDE 5X30UN                                   7794626922978 N                5 
7737001070017 171480               HUGGIES ACTIVE SEC SPONGE XG 10X24UN                                   7794626922985 N               10 
7737001070017 171497               HUGGIES ACTIVE SEC SPONGE GDE 10X16UN                                  7794626922930 N               10 
7737001070017 171499               HUGGIES ACTIVE SEC SPONGE XGDE 16X14UN                                 7794626922947 N               16 
7737001070017 171502               HUGGIES ACTIVE SEC SPONGE XXGDE 16X14UN                                7794626922954 N               16 
7737001070017 171503               HUGGIES ACTIVE SEC SPONGE MED 5X36UN                                   7794626922961 N                5 
7737001070017 171578               PONDS TOALLAS DESMAQ EXF 12X30UN                                        305210119345 S               12 
7737001070017 171581               PONDS TOALLA DESMAQ P NORM/SECA 12X30UN                                 305210119338 S               12 
7737001070017 172276               PATRICHS DEO AER AIR12X105G+COLONIA+DESC                               7730165321957 N               12 
7737001070017 172913               HUGGIES CLASSIC WAVE MED 3X72UN                                        7794626923449 N                3 
7737001070017 172916               HUGGIES CLASSIC WAVE GDE 4X60UN                                        7794626923456 N                4 
7737001070017 172917               HUGGIES CLASSIC WAVE XGDE 4X48UN                                       7794626923463 N                4 
7737001070017 172919               HUGGIES CLASSIC WAVE XXGDE 4X48UN                                      7794626923470 N                4 
7737001070017 172953               AXE AER DEO DARK TEMPT 12X113GR/160ML                                  7791293995755 N               12 
7737001070017 173127               HUGGIES ACTIVE SEC SPONGE GDE 4X60UN                                   7794626923395 N                4 
7737001070017 173130               HUGGIES ACTIVE SEC SPONGE XGDE 4X48UN                                  7794626923425 N                4 
7737001070017 173135               HUGGIES ACTIVE SEC SPONGE XXGDE 4X48UN                                 7794626923432 N                4 
7737001070017 173152               HUGGIES ACTIVE SEC SPONGE MED 3X72UN                                   7794626923388 N                3 
7737001070017 173180               CIF VIDRIOS MULTIUSO REP 12X500ML                                      7791290771611 N               12 
7737001070017 173181               CIF BANOS MULTIUSO REP 12X500ML                                        7791290771635 N               12 
7737001070017 173189               CIF ANTIG RFL 12X500ML                                                 7791290771598 N               12 
7737001070017 173329               DOVE CR P/ MANOS PRO AGE 6X75ML                                        7898422751210 N                6 
7737001070017 173330               DOVE CR CORPORAL BELLE PRO AGE 12X200ML                                7898422751227 N               12 
7737001070017 173465               DOVE JAB PRO AGE 48X90GR                                               7898422750572 N               48 
7737001070017 174277               VIVERE CLASICO AC P/ROPA DOYP 12X900ML                                 7791290783478 N               12 
7737001070017 174283               PONDS CR REJUV 6X100GR+CR C 50G PRM DESC                               7730165322077 S                6 
7737001070017 174483               AXE DEO ROLLON DARK TEMP 12X53GR/50ML                                       78922631 N               12 
7737001070017 174876               DRIVE POLVO REG UN DIA EN PARQUE 24X400G                               7791290783348 N               24 
7737001070017 174881               DRIVE POLVO REG BANO DE BLANCURA 24X400G                               7791290783355 N               24 
7737001070017 174882               DOVE JAB MIXTO 8X6X90GR PRM 6X5                                        7730165322305 N                8 
7737001070017 174884               DRIVE MATIC POLVO UN DIA EN PARQ 24X400G                               7791290783409 N               24 
7737001070017 174886               DRIVE MATIC POLVO BANO DE BLANC 24X400GR                               7791290783416 N               24 
7737001070017 174887               DRIVE MATIC POLVO BAIL BAJO LLUV 24X400G                               7791290783423 N               24 
7737001070017 174894               DRIVE POLVO REG UN DIA EN PARQUE 24X800G                               7791290783379 N               24 
7737001070017 174899               DRIVE POLVO REG BANO DE BLANCURA 24X800G                               7791290783386 N               24 
7737001070017 174907               DRIVE MATIC POLVO UN DIA EN PARQ 24X800G                               7791290783430 N               24 
7737001070017 174911               DRIVE MATIC POLVO BAIL BAJO LLUV 24X800G                               7791290783454 N               24 
7737001070017 174915               DRIVE MATIC POLVO BANO DE BLANC 24X800GR                               7791290783447 N               24 
7737001070017 175046               DRIVE POLVO REG UN DIA EN PARQUE 6X3KG                                 7791290783577 N                6 
7737001070017 175048               DRIVE MATIC POLVO BANO DE BLANCURA 6X3KG                               7791290783584 N                6 
7737001070017 175051               VIVERE SUAVIZ P/ROPA CLASICO 4X4LT                                     7791290192263 N                4 
7737001070017 175155               HUGGIES GOODNITES UNISEX MED 6X11UN                                      36000180800 N                6 
7737001070017 175158               HUGGIES GOODNITES UNISEX GDE 6X9UN                                       36000180855 N                6 
