GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 51733                SUNDOWN BLQ FPS50 TIN 12X120ML                                         SUNDOWN                        BEAUTY                         7702031312277     12 N     20121012T1232  A      
7737001260012 51737                SUND  U-RESIST FPS30 EMB ECON 12X200ML                                 SUNDOWN                        SUNCARE                        7891010096496     12 N     20160223T1907  A      
7737001260012 51747                SUND® GEL POS-SOL 12X130 GR                                            SUNDOWN                        BEAUTY                         7891010033415     12 N     20141124T1113  A      
7737001260012 51771                WRINKLE CORREX DÍA + WRINKLE CORREX OJOS                               ROC                            BEAUTY                         7730198517716      6 N     20120515T1637  A      
7737001260012 51772                COMP LIFT DÍA + COMPL LIFT ROLL-ON OJOS                                ROC                            BEAUTY                         7730198517723      6 N     20120515T1637  A      
7737001260012 51773                NEU ULTRA LIGHT + TON ENERG 30% DTO                                    NEUTROGENA                     BEAUTY                         7730198517730      6 N     20130118T1125  A      
7737001260012 51815                SUNDOWN KIDS FPS60 STARCK EXP 12X120ML                                 SUNDOWN                        SUNCARE                        7891010518158     12 N     20160223T1907  A      
7737001260012 51821                J'S BABY TOALLITA HUM HORA JUGAR 12X25UN                               J´S BABY                       BABY                           7891010936624     12 N     20140123T1601  A      
7737001260012 51829                SUNDOWN REG FPS50 STARCK EXP 12X200ML                                  SUNDOWN                        SUNCARE                        7891010518295     12 N     20160223T1907  A      
7737001260012 51881                PR SH 400ML+COND 200ML GR SUB 6CJ                                      JOHNSON´S BABY                 BABY                           7891010518813     12 N     20130911T1522  A      
7737001260012 51882                CAREFREE BRISA 12 X 150                                                JOHNSON´S BABY                 BABY                           7702031518822     15 N     20130911T1522  A      
7737001260012 51888                ST ESPECIAL ADAPT SUB 8X7X12                                           JOHNSON´S BABY                 BABY                           7702031800675     30 N     20130911T1522  A      
7737001260012 51973                NEUT  R CLEAR ESFOL  A-CRAVOS 6X100 EXP                                NEUTROGENA                     BEAUTY                         7891010702199     12 N     20140123T1601  A      
7737001260012 52134                LIST WHITENING ANTIMANCHAS 12X500ML EXP                                LISTERINE                      ORAL MOUTHWASH                 7891010959333     12 N     20131014T1500  A      
7737001260012 52135                LIST WHITENING ANTIMANCHAS 12X250ML EXP                                LISTERINE                      ORAL MOUTHWASH                 7891010959302     12 N     20131014T1500  A      
7737001260012 52144                J'S BABY SH CHEIR PROLONGAD 12X400ML NAC                               J´S BABY                       BABY HAIR CARE                 7891010521448     12 N     20130409T1645  A      
7737001260012 52227                BAÑO LIQ.DULCES SUEÑOS 6X200                                           JOHNSON´S                      BABY TOILETRIES                7891010042950     12 N     20140123T1601  A      
7737001260012 527123               PROMO PACK JS BABY                                                     JOHNSON'S ADULT                BABY HAIR CARE                 7730198005497     16 N     20171211T1618  A      
7737001260012 527856               JADULT JABON NUT PROTECTORA 16X3X125 GR                                JOHNSON'S ADULT                BODY CLEANSING BAR SOAP        7702031685043     16 N     20171120T1624  A      
7737001260012 527857               JADULT JABON NUT RENOVADORA 16X3X125 GR                                JOHNSON'S ADULT                BODY CLEANSING BAR SOAP        7702031685036     16 N     20171120T1624  A      
7737001260012 53907                PINK GRAPEFRUIT FACIAL CLEANSER 6OZ                                    NEUTROGENA                     BEAUTY                           70501053652     12 N     20130201T0908  A      
7737001260012 53908                PINK GRAPEFRUIT FOAMING SCRUB 4.2OZ                                    NEUTROGENA                     BEAUTY                           70501053607     12 N     20130201T0908  A      
7737001260012 53921                JB TOALLAS HUMEDAS RECIEN NACIDOS 12X50                                JOHNSON'S BABY                 BABY TOILETRIES                7891010933838     24 N     20140123T1601  A      
7737001260012 53922                JB TOALLAS HUMEDAS SKINCARE 12X50                                      JOHNSON´S                      BABY TOILETRIES                7891010933869     24 N     20140123T1601  A      
7737001260012 53923                REPUESTO MILK 12X50                                                    JOHNSON'S BABY                 BABY TOILETRIES                7891010702663     24 N     20140123T1601  A      
7737001260012 53924                TOALLA HUMEDA LAVANDA 12X50                                            JOHNSON'S BABY                 BABY TOILETRIES                 810508000415     24 N     20140123T1601  A      
7737001260012 55696                ROC BODY TOTAL SLIMMING 200ML                                          ROC                            BEAUTY                         3574660678109     24 N     20120924T1516  A      
7737001260012 55698                SUND FPS30 X 200ML + GEL POS REGALO                                    SUNDOWN                        BEAUTY                         7730198004926     12 N     20121016T1405  A      
7737001260012 55699                SUND FPS15 X 200ML + GOLD FPS4 REGALO                                  SUNDOWN                        SUNCARE                        7730198004933     12 N     20121016T1405  A      
7737001260012 55854                J'S SOFT LOCAO P SONHOS 12X200ML C.SUL                                 SOFTLOTION                     SOFTLOTION                     7891010877934     12 N     20131101T1352  A      
7737001260012 55881                J&J COTONETES 60X75 UNID                                               JOHNSON'S BABY                 COTTON SWABS                   7891010560737     60 N     20140123T1601  A      
7737001260012 55886                COTONETES L200P120 24X200UN                                            JOHNSON'S BABY                 BABY TOILETRIES                7702031247708     24 N     20160223T1907  A      
7737001260012 55888                COTONETES* CANNISTER 30X150'S                                          JOHNSON'S BABY                 COTTON SWABS                   7891010032937     30 N     20140123T1601  A      
7737001260012 55962                JB CREMA HUMECTANTE 12X200                                             JOHNSON'S BABY                 BABY CARE                      7891010037185     12 N     20161021T1608  A      
7737001260012 55994                J'S SOFT LOCAO REFRESHING C SUL 12X200ML                               JOHNSON´S                      BABY TOILETRIES                7891010925628     12 N     20140123T1601  A      
7737001260012 55997                JS SOFT LOCION NUT INTENSA 12X200ML                                    SOFTLOTION                     SOFTLOTION                     7891010927622     12 N     20131014T1500  A      
7737001260012 56008                PROTECT.P/LACT.CON F/GEL 12X24                                         JOHNSON'S BABY                 BABY TOILETRIES                7891010046927     12 N     20140925T1443  A      
7737001260012 56045                SPLENDA* SOBRES 12X50'S SP                                             SPLENDA                        SPLENDA                         722776020012     12 N     20140123T1601  A      
7737001260012 56046                SPLENDA* SOBRES 12X100'S SP                                            SPLENDA                        SPLENDA                         722776020029     12 N     20140123T1601  A      
7737001260012 56047                SPLENDA MESA 200 SOBRES 1G C12                                         SPLENDA                        CHC                             722776200629     12 N     20140123T1601  A      
7737001260012 56049                SPLENDA 700 SOBRES 1G                                                  SPLENDA                        SPLENDA                         722776200643      1 N     20140123T1601  A      
7737001260012 56209                MYLANTA DOS MENTA + FRESA                                              MYLANTA/GAS                    OTC                            7730198004957     12 N     20131121T1634  A      
7737001260012 56236                LISTERINE COOL MINT A-SEPTICO B 250ML                                  LISTERINE                      ORAL MOUTHWASH                 7891268400014     12 N     20131014T1500  A      
7737001260012 56261                WET SKIN KIDS SPRAY SPF70+ 5OZ                                         NEUTROGENA                     BEAUTY                           86800870333     12 N     20121012T1232  A      
7737001260012 56262                WET SKIN SPRAY SPF30 5OZ                                               NEUTROGENA                     BEAUTY                           86800870340     12 N     20121012T1232  A      
7737001260012 56263                NTG WET SKIN FPS50                                                     NEUTROGENA                     BEAUTY                           86800870357     12 N     20121012T1232  A      
7737001260012 56264                WET SKIN SPRAY SPF85+ 5OZ                                              NEUTROGENA                     BEAUTY                           86800870364     12 N     20121012T1232  A      
7737001260012 56372                LISTERINE COOL CITRUS LLEVE 500 PAG 350                                LISTERINE                      ORAL MOUTHWASH                 7730198004964     12 N     20121012T1232  A      
7737001260012 56404                BAÑO LIQUIDO HORA DE JUGUAR 25% DTO                                    BABY                           BABY                           7730198005015     12 N     20131121T1634  A      
7737001260012 56430                LISTERINE COOL MINT LLEVE 500 PAGUE 350                                LISTERINE                      ORAL CARE                      7730198004971     12 N     20121012T1232  A      
7737001260012 56431                LISTERINE FRESHBURST LLEVE 500 PAGUE 350                               LISTERINE                      ORAL CARE                      7730198004988     12 N     20121012T1232  A      
7737001260012 56434                JB SHAMPOO CABELLO CLARO X 200 ML                                      JOHNSON´S BABY                 BABY TOILETRIES                7790010564342     12 N     20130919T1057  A      
7737001260012 56435                JB SHAMPOO CABELLO CLARO X 400 ML                                      JOHNSON´S BABY                 BABY TOILETRIES                7790010564359     12 N     20130919T1057  A      
7737001260012 56436                JB SHAMPOO CABELLO CLARO X 750 ML                                      JOHNSON´S BABY                 BABY TOILETRIES                7790010564366     12 N     20130919T1057  A      
7737001260012 56503                DESITIN CREAMY 36 X 57 GM EXP                                          JOHNSON´S BABY                 BABY                           7702031927433     36 N     20130911T1522  A      
7737001260012 56791                NEUT CREME P/MANOS 6X56G                                               NEUTROGENA                     BEAUTY                           70501812921      6 N     20160927T1220  A      
7737001260012 56879                J'S BABY TOALLITA HUM HORA JUGAR 12X25UN                               J´S BABY                       BABY                           7891010936624     12 N     20160223T1907  A      
7737001260012 56979                CAREFREE ORIGINAL SP 60 X 20                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010569798     60 N     20130802T1538  A      
7737001260012 57000                CAREFREE ORIGINAL SP MAXIPACK  30 X 60                                 CAREFREE                       SANPRO INTERMENSTRUAL          7790010570008     30 N     20130919T1057  A      
7737001260012 57001                CAREFREE COMPACT SP 60X20                                              CAREFREE                       SANPRO INTERMENSTRUAL          7790010570015     60 N     20130919T1057  A      
7737001260012 57020                CAREFREE COMPACT SP 20X80                                              CAREFREE                       SANPRO INTERMENSTRUAL          7790010570206     20 N     20130919T1057  A      
7737001260012 57022                CAREFREE LARGOS 30X60                                                  CAREFREE                       SANPRO INTERMENSTRUAL          7790010570220     30 N     20130919T1057  A      
7737001260012 57023                CAREFREE BRISA SP MAXIPACK 20X100                                      CAREFREE                       SANPRO INTERMENSTRUAL          7790010570237     48 N     20130919T1057  A      
7737001260012 57024                CAREFREE BRISA SP 60X20                                                CAREFREE                       SANPRO INTERMENSTRUAL          7790010570244     60 N     20131014T1500  A      
7737001260012 57034                SL ESPECIAL CON ALAS 60X8                                              SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010570343     60 N     20131210T1153  A      
7737001260012 57035                SL ESPECIAL CON ALAS 30X16                                             SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010570350     48 N     20130919T1057  A      
7737001260012 57036                SL U FINOS ABA SV PULP FILLED 48X8UN                                   SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010570367     12 N     20130911T1522  A      
7737001260012 57053                JB SHAMPOO CLARO CON MANZANILLA 12X200ML                               JOHNSON'S BABY                 BABY TOILETRIES                7790010570534     12 N     20131211T1557  A      
7737001260012 57054                JB SHAMPOO CLARO CON MANZANILLA 12X400ML                               JOHNSON'S BABY                 BABY TOILETRIES                7790010570541     12 N     20131211T1557  A      
7737001260012 57055                JB SHAMPOO CLARO CON MANZANILLA 12X750ML                               JOHNSON'S BABY                 BABY TOILETRIES                7790010570558     12 N     20131211T1557  A      
7737001260012 57060                SHAMPOO PROTECCIÓN UV X 200 ML                                         JOHNSON'S BABY                 BABY TOILETRIES                7790010570602     12 N     20131211T1557  A      
7737001260012 57061                SHAMPOO PROTECCIÓN UV X 400 ML                                         JOHNSON'S BABY                 BABY TOILETRIES                7790010570619     12 N     20131211T1557  A      
7737001260012 57062                JB SHAMPOO  PH BALANCEADO 12X200ML                                     JOHNSON'S BABY                 BABY TOILETRIES                7790010570626     12 N     20131211T1557  A      
7737001260012 57063                JB SHAMPOO  PH BALANCEADO 12X400ML                                     JOHNSON'S BABY                 BABY TOILETRIES                7790010570633     12 N     20131211T1557  A      
7737001260012 57064                JB SHAMPOO  PH BALANCEADO 12X750ML                                     JOHNSON'S BABY                 BABY TOILETRIES                7790010570640     12 N     20131211T1557  A      
7737001260012 57068                JB ACONDICIONADOR CABELLO CLARO 12X400                                 JOHNSON'S BABY                 BABY TOILETRIES                7790010570688     12 N     20131211T1557  A      
7737001260012 57132                JS JABON ADULTO ORGINAL 48X125                                         JOHNSON'S                      JOHNSON'S ADULT                7702031900917     48 N     20151027T1248  A      
7737001260012 57136                JS JABON ADULTO AVENA  48X125                                          JOHNSON'S                      JOHNSON'S ADULT                7702031900979     48 N     20151027T1248  A      
7737001260012 57152                LIST CUID TOTAL 500ML + CEP CUID TOTAL                                 LISTERINE                      ORAL MOUTHWASH                 7730198005077      8 N     20130201T0908  A      
7737001260012 57161                SHAMPOO CLASICO + JABON REGULAR                                        OFERTAS                        BABY HAIR CARE                 7730198005084      6 N     20130201T0908  A      
7737001260012 57162                SHAMPOO MANZANILLA + JABON REGULAR                                     OFERTAS                        BABY HAIR CARE                 7730198005091      6 N     20130201T0908  A      
7737001260012 57163                JAB REGULAR PRECIO ESPECIAL 2 UN X 80 GR                               OFERTAS                        BABY TOILETRIES                7730198005107     36 N     20130201T0908  A      
7737001260012 57236                SPLENDA* SOBRES 12X50'S SP                                             SPLENDA                        SPLENDA                         722776020012     12 N     20131211T1557  A      
7737001260012 57237                SPLENDA* SOBRES 12X100'S SP                                            SPLENDA                        SPLENDA                         722776020029     12 N     20131211T1557  A      
7737001260012 57238                SPLENDA MESA 200 SOBRES 1G C12                                         SPLENDA                        SPLENDA                         722776200629     12 N     20131211T1557  A      
7737001260012 57379                SINUTAB PLUS 144 X 12 TAB UY                                           SINUTAB                        OTC UPPER RESPIRATORY          7702035915566    144 N     20130604T1024  A      
7737001260012 57475                LISTERINE COOL MINT LLEVE 250 PAGUE 200                                LISTERINE                      ORAL MOUTHWASH                 7730198005138     12 N     20130201T0908  A      
7737001260012 57476                TOALLITA REFIL REGULAR LLEVE 3 PAGUE 2                                 OFERTAS                        BABY WIPES                     7730198005121      4 N     20130604T1024  A      
7737001260012 57492                D CLEAN EXFOL + TONICO 30%DTO                                          NEUTROGENA                     BEAUTY                         7730198005114      8 N     20140925T1443  A      
7737001260012 57505                SPLENDA 700 SOBRES 1G                                                  SPLENDA                        SPLENDA                         722776200643      1 N     20131211T1557  A      
7737001260012 57530                LISTERINE ZERO L1000 P700                                              JOHNSON'S                      ORAL MOUTHWASH                 7730198005145      6 N     20131211T1557  A      
7737001260012 57531                LISTERINE COOL MINT L1000 P700                                         JOHNSON'S                      ORAL MOUTHWASH                 7730198005152      6 N     20131211T1557  A      
7737001260012 57532                LISTERINE CUIDADO TOTAL L1000 P70                                      JOHNSON'S                      ORAL MOUTHWASH                 7730198005169      6 N     20131211T1557  A      
7737001260012 57542                LISTERINE ZERO 6X1LT                                                   JOHNSON'S                      ORAL MOUTHWASH                 7702031518631      6 N     20140121T1526  A      
7737001260012 57582                JNS REMUEVE BACT MENTOL 16X3X125                                       JOHNSON'S                      JOHNSON'S ADULT                7702031958987     16 N     20151027T1248  A      
7737001260012 57636                LISTERINE CUIDADO TOTAL LITRO 6X1000ML                                 JOHNSON'S                      ORAL MOUTHWASH                 7702035833846      6 N     20140121T1526  A      
7737001260012 57662                ULTRA LIGHT PIEL NORM+ CONTORNO OJOS                                   NEUTROGENA                     BEAUTY                         7730198005176      8 N     20140925T1443  A      
7737001260012 57681                LISTERINE COOL 6 X 1LT                                                 JOHNSON'S                      ORAL MOUTHWASH                 7702035432506      6 N     20140121T1526  A      
7737001260012 57712                LIST COOL MINT 12X250ML L250P200ML                                     LISTERINE                      ORAL MOUTHWASH                 7891010976606     12 N     20130802T1512  A      
7737001260012 57713                LIST COOL MINT 12X500ML L500P350ML                                     LISTERINE                      ORAL MOUTHWASH                 7891010976712     12 N     20140925T1443  A      
7737001260012 57714                LISTERINE ZERO 12X250ML ESPANHOL                                       LISTERINE                      ORAL MOUTHWASH                 7891010974329     12 N     20130802T1512  A      
7737001260012 57715                LISTERINE ZERO 12X500ML                                                LISTERINE                      ORAL MOUTHWASH                 7891010974336     12 N     20130802T1512  A      
7737001260012 57716                LIST WHITENING ANTIMANCHAS 12X250ML EXP                                LISTERINE                      ORAL MOUTHWASH                 7891010959302     12 N     20130802T1512  A      
7737001260012 57717                LIST WHITENING ANTIMANCHAS 12X500ML EXP                                LISTERINE                      ORAL MOUTHWASH                 7891010959333     12 N     20130802T1512  A      
7737001260012 57718                LISTERINE PROTEC DIENTES 12XX250ML                                     LISTERINE                      ORAL CARE                      7891010927400     12 N     20130802T1512  A      
7737001260012 57719                LISTERINE PROT DIENTES & ENCIAS 12X500ML                               LISTERINE                      ORAL MOUTHWASH                 7891010927417     12 N     20130802T1512  A      
7737001260012 57750                LISTERINE ANTI SARRO 250ML                                             LISTERINE                      ORAL MOUTHWASH                 7702035853158     12 N     20130802T1512  A      
7737001260012 57751                LISTERINE ANTI SARRO 500ML                                             LISTERINE                      ORAL MOUTHWASH                 7702035853165     12 N     20130802T1512  A      
7737001260012 57752                LISTERINE CUID TOTAL A-SEP BUCAL 250ML                                 LISTERINE                      ORAL MOUTHWASH                 7891010959517     12 N     20130802T1512  A      
7737001260012 57753                LISTERINE CUID TOTAL A-SEP BUCAL 500ML                                 LISTERINE                      ORAL MOUTHWASH                 7891010959524     12 N     20130802T1512  A      
7737001260012 58035                J'S B CR PENTEAR MOISTURIZ 12X150ML EXP                                JOHNSON'S BABY                 BABY TOILETRIES                7891010804626     12 N     20160601T1205  A      
7737001260012 58117                CAREFREE TANGA BRISA SIN PERFUME 30X20                                 CAREFREE                       SANPRO INTERMENSTRUAL          7790010570268     30 N     20130919T1057  A      
7737001260012 58118                CAREFREE TANGA BRISA SIN PERFUME 30X60                                 CAREFREE                       SANPRO INTERMENSTRUAL          7790010570275     30 N     20130919T1057  A      
7737001260012 58439                JB JABON LÍQUIDO MILK X 400                                            JOHNSON'S BABY                 JB TOILETRIES                  7702031220053     12 N     20161114T1117  A      
7737001260012 58485                ABS INT OB MINI 40X10UN                                                OB                             WOMEN´S HEALTH                 7891010010515     40 N     20130911T1522  A      
7737001260012 58487                OB TAMP MEDIO HELIX 40X10                                              OB                             WOMEN´S HEALTH                 7891010010546     40 N     20130911T1522  A      
7737001260012 58488                OB TAMPONES SUPER HELIX 40X10                                          OB                             WOMEN´S HEALTH                 7891010010577     40 N     20130911T1522  A      
7737001260012 58500                OB MINI 20X20 NP                                                       OB                             WOMEN´S HEALTH                 7891010010539     20 N     20130911T1522  A      
7737001260012 58501                OB MEDIO 20X20 NP                                                      OB                             WOMEN´S HEALTH                 7891010010560     20 N     20130911T1522  A      
7737001260012 58511                OB SUPER 20X20 NP                                                      OB                             WOMEN´S HEALTH                 7891010010591     20 N     20130911T1522  A      
7737001260012 58589                LISTERINE CUIDADO TOTAL L 1000 P 500                                   LISTERINE                      ORAL CARE                      7730198005244      6 N     20130911T1522  A      
7737001260012 58648                LIST ZERO MENTA VERDE 12X250ML ESPANHOL                                LISTERINE                      CHC                            7891010586485     12 N     20160223T1907  A      
7737001260012 58649                LIST ZERO MENTA VERDE 12X500ML ESPANHOL                                LISTERINE                      CHC                            7891010586492     12 N     20160223T1907  A      
7737001260012 58670                LISTERINE COOL MINT L 1000 P 500                                       LISTERINE                      ORAL CARE                      7730198005251      6 N     20130911T1522  A      
7737001260012 58800                JB SHAMPOO ANTES DE DORMIR 12X200                                                                     BABY CARE                      7702031714309     12 N     20160818T1122  A      
7737001260012 58801                JB SHAMPOO ANTES DE DORMIR 12X400                                                                     BABY CARE                       381370037477     12 N     20160818T1122  A      
7737001260012 58887                REACH* HILO ESSENTIAL 24X100                                           REACH                          ORAL CARE                      7891010501105     24 N     20140925T1443  A      
7737001260012 58961                J'S B TOALLITAS HUMED EXTR CUID 12X96UN                                JOHNSON´S BABY                 BABY CARE                      7891010589615     12 N     20150212T1546  A      
7737001260012 58962                TOALHINHAS UME J'S BB HOR SON 12X96UN                                  JOHNSON´S BABY                 BABY CARE                      7891010589622     12 N     20150212T1546  A      
7737001260012 58963                J'S B TOALLITAS HUMED REC NASC 12X96UN                                 JOHNSON´S BABY                 BABY CARE                      7891010589639     12 N     20150212T1546  A      
7737001260012 58980                SLIBRE NOCTURNA 2 CON 25% DTO                                          SLIBRE                         ALL OTHER WOMEN'S HEALTH CONSU 7730198991172     12 N     20130911T1522  A      
7737001260012 59005                SIEMPRE LIBRE TRIPROTECT LL2 P1                                        SIEMPRE LIBRE                  SANPRO EXTERNAL                7730198005268     32 N     20130911T1522  A      
7737001260012 59071                HILO DENTAL REACH REGULAR 24X50M                                       REACH                          ORAL CARE                      7891010038892     24 N     20160524T1227  A      
7737001260012 59431                J'S SOFT LOCAO M PROLONGADA 12X200ML EXP                               JOHNSON'S                      BABY CARE                      7891010895334     12 N     20151027T1248  A      
7737001260012 59438                JS SOFT LOCION NUT INTENSA 12X200ML                                    SOFTLOTION                     BABY                           7891010927622     12 N     20151027T1248  A      
7737001260012 59446                J'S SOFT LOCAO P SONHOS 12X200ML C.SUL                                 SOFT LOTION                    BABY TOILETRIES                7891010877934     12 N     20151027T1248  A      
7737001260012 59504                LISTERINE WHITE ANTIMANCHAS LL750 P500                                 LISTERINE                      ORAL MOUTHWASH                 7730198005275      6 N     20131014T1500  A      
7737001260012 59505                LISTERINE WHITE 2 EN 1 LL709 P473                                      LISTERINE                      ORAL MOUTHWASH                 7730198005282      6 N     20131014T1500  A      
7737001260012 59567                LISTERINE CUIDADO TOTAL LL500 P350+                                    LISTERINE                      ORAL MOUTHWASH                 7730198005299     12 N     20131014T1500  A      
7737001260012 59568                SPLENDA TABLETAS LL300 P250                                            SPLENDA                        SPLENDA                        7730198005312     12 N     20131014T1500  A      
7737001260012 59569                SL FIT CON ALAS 48X8                                                   SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010595698     48 N     20160223T1908  A      
7737001260012 59629                JB BAÑO LIQDELA CABEZA ALOS PIES12X200ML                               JOHNSON´S BABY                 BABY                           7790010596299     12 N     20131211T1557  A      
7737001260012 59660                SL FIT CON ALAS 24X16                                                  SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010596602     24 N     20160223T1907  A      
7737001260012 59927                SL ULTRAFINA MAX SUAVE 48X8                                            SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010599276     48 N     20160223T1907  A      
7737001260012 59928                SL ULTRAFINA MAX SUAVE 24X16                                           SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010599283     24 N     20141128T1047  A      
7737001260012 59929                TOAL FEM SL NOC MX SV ALAS TER 24X8UN AR                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010599294     24 N     20160223T1907  A      
7737001260012 6.0004e+006          ABS SL U FINOS ABA SV PULP FILLED 48X8UN                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010891220     48 N     20100709T0928  A      
7737001260012 6.0004e+010          SIEMPRE LIBRE ® ESPECIAL ULTRA FINOS                                   SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010005832     48 N     20161114T1117  A      
7737001260012 6.0006e+006          CAREFREE COMPACT SIN PERFUME  60 X  20                                 CAREFREE                       SANPRO INTERMENSTRUAL          7790010005661     60 N     20161114T1117  A      
7737001260012 6.00071e+006         COLONIA NATURAL 12X100                                                 JOHNSON'S BABY                 BABY TOILETRIES                7790010007092     12 N     20161114T1117  A      
7737001260012 6.0007e+006          COLONIA F.C.12X100                                                     JOHNSON'S BABY                 BABY TOILETRIES                7790010007030     12 N     20161114T1117  A      
7737001260012 6.0009e+006          TALCO MILK 24X200                                                      JOHNSON'S BABY                 BABY TOILETRIES                7790010009034     24 N     20161114T1117  A      
7737001260012 6.0009e+006          TALCO MILK 24X200                                                      JOHNSON'S BABY                 BABY TOILETRIES                7891010046842     12 N     20161114T1117  A      
7737001260012 6.00182e+006         NEU ACEITE CORP.250ML                                                  NEUTROGENA                     BEAUTY                           70501618202     24 N     20161114T1117  A      
7737001260012 6.0092e+006          NEUTROGENA NEUTAR/GEL 130ML                                            NEUTROGENA                     BEAUTY                           70501092002     24 N     20161114T1117  A      
7737001260012 6.00945e+006         BAÑO LIQUIDO GLICERINA 6X200                                           JOHNSON'S BABY                 BABY TOILETRIES                7891010005757      6 N     20161114T1117  A      
7737001260012 6.0216e+006          ROC RET.VITAMINAS A+C+E 30ML                                           ROC                            BEAUTY                         3574660060539     42 N     20161114T1117  A      
7737001260012 6.21044e+006         HEALTHY SKIN ANTIWRINKLE 1,4OZ                                         NEUTROGENA                     BEAUTY                           70501013304     24 N     20161114T1117  A      
7737001260012 6.21044e+006         HEALTHY SKIN ANTIWRINKLE 1,4OZ                                         NEUTROGENA                     BEAUTY                           70501061107     12 N     20161114T1117  A      
7737001260012 6.21051e+006         O/F EYES MAKE UP REMOVER                                               NEUTROGENA                     BEAUTY                           70501050651     12 N     20161114T1117  A      
7737001260012 6.21179e+006         TYLENOL 500 MG                                                         TYLENOL                        OTC OTHER CATEGORIES            300450449054     72 N     20161114T1117  A      
7737001260012 6.23009e+006         ACEITE X 200 OFERTA 25% DTO.                                           OFERTAS                        BABY TOILETRIES                7730198002939     12 N     20161114T1117  A      
7737001260012 6.2301e+006          SHAMPOO CLASICO 400 X 300                                              JOHNSON'S BABY                 BABY TOILETRIES                7730198003202     12 N     20161114T1117  A      
7737001260012 6.23029e+006         BA#O GLIC.HEAD TO TOE 200 -25%                                         OFERTAS                        BABY TOILETRIES                7730198003271      6 N     20161114T1117  A      
7737001260012 6.23196e+006         OB MEDIO X 10 OFERTA 3X2                                               OB                             SANPRO INTERNAL                7730198000287     10 N     20161114T1117  A      
7737001260012 6.23196e+006         OB MEDIO X 10 OFERTA 3X2                                               OB                             SANPRO INTERNAL                7730198000294     10 N     20161114T1117  A      
