GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001070017 100032               SCOTT GOURMET R COC 8X3X50UN                                           GOURMET                        KIMBERLY                       7798038155689      8 N     20041223T1704  D      
7737001070017 136855               SEDAL SH NEGROS LUMINOSOS 12X200ML                                     SEDAL                          PERSONAL CARE                  7791293006758     12 N     20060131T1123  D      
7737001070017 136874               SEDAL SH NEGROS LUMINOSOS 12X350ML                                     SEDAL                          PERSONAL CARE                  7791293006765     12 N     20060131T1123  D      
7737001070017 136881               DOVE AC LISO 12X400ML                                                  DOVE                           PERSONAL CARE                  7791293006819     12 N     20060929T1325  D      
7737001070017 136882               DOVE SH LISO 12X400ML                                                  DOVE                           PERSONAL CARE                  7791293006802     12 N     20060929T1325  D      
7737001070017 136883               DOVE SH RIZOS 12X400ML                                                 DOVE                           PERSONAL CARE                  7791293006840     12 N     20060929T1325  D      
7737001070017 136890               DOVE AC RIZOS 12X400ML                                                 DOVE                           PERSONAL CARE                  7791293006857     12 N     20060929T1325  D      
7737001070017 136968               SCOTT ROLLO DE COCINA 8X3UN                                            SCOTT                          KIMBERLY                       7798038157416      8 N     20060214T1444  D      
7737001070017 137009               REXONA DEO STICK AP SPORTFAN 12X50GR                                   REXONA.                        PERSONAL CARE                       75021900     12 N     20060308T1207  D      
7737001070017 137010               REXONA DEO STICK AP CRYSTAL 12X50GR                                    REXONA.                        PERSONAL CARE                       75021887     12 N     20060308T1207  A      
7737001070017 138095               KIMBIES BASICO XGDE 14X8UN                                             KIMBIES                        KIMBERLY                       7794626908460     14 N     20070518T1503  A      
7737001070017 138098               KIMBIES BASICO GDE 5X40UN                                              KIMBIES                        KIMBERLY                       7794626008511      5 N     20060802T1443  A      
7737001070017 138101               KIMBIES BASICO GDE 14X10UN                                             KIMBIES                        KIMBERLY                       7794626908453     14 N     20060831T1314  A      
7737001070017 141327               SEDAL AC CAIDA DEFENSE 12X200ML                                        SEDAL                          PERSONAL CARE                  7791293007106     12 N     20070302T1801  D      
7737001070017 141331               SEDAL AC CAIDA DEFENSE 12X350ML                                        SEDAL                          PERSONAL CARE                  7791293007120     12 N     20070302T1801  D      
7737001070017 141332               SEDAL SH CAIDA DEFENSE 12X200ML                                        SEDAL                          PERSONAL CARE                  7791293007090     12 N     20070302T1801  D      
7737001070017 141333               SEDAL SH CAIDA DEFENSE 12X350ML                                        SEDAL                          PERSONAL CARE                  7791293007113     12 N     20070302T1801  D      
7737001070017 142235               SUAVE SH FRUVIT SECO 12X350ML                                          SUAVE                          PERSONAL CARE                  7791293007311     12 N     20060331T1706  D      
7737001070017 142236               SUAVE SH FRUVIT NORMAL 12X350ML                                        SUAVE                          PERSONAL CARE                  7791293007298     12 N     20060327T1054  A      
7737001070017 142237               SUAVE SH FRUVIT GRASO 12X350ML                                         SUAVE                          PERSONAL CARE                  7791293007281     12 N     20060331T1706  D      
7737001070017 142238               SUAVE AC FRUVIT SECO 12X350ML                                          SUAVE                          PERSONAL CARE                  7791293007342     12 N     20060331T1706  D      
7737001070017 142239               SUAVE AC FRUVIT NORMAL 12X350ML                                        SUAVE                          PERSONAL CARE                  7791293007335     12 N     20060308T1207  A      
7737001070017 142331               SUAVE AC FRUVIT GRASO 12X350ML                                         SUAVE                          PERSONAL CARE                  7791293007328     12 N     20060331T1706  D      
7737001070017 142806               PLENITUD APOSITO POST PARTO 30X10UN                                    PLENITUD                       KIMBERLY                       7794626909801     30 N     20060124T1655  D      
7737001070017 142808               HUGGIES BABY WIPES BASIC RFL TUBO 15X65U                               HUGGIES                        KIMBERLY                       7896018700253     15 N     20060308T1207  A      
7737001070017 142810               HUGGIES BABY WIPES BASIC RFL 30X65UN                                   HUGGIES                        KIMBERLY                       7896018700260     30 N     20060308T1207  S      
7737001070017 142812               HUGGIES BABY WIPES BASIC TUBO 12X130UN                                 HUGGIES                        KIMBERLY                       7896018700277     12 N     20060308T1207  D      
7737001070017 143072               HUGGIES ACTIVE SEC ROCKY MED 15X12UN                                   HUGGIES                        KIMBERLY                       7794626909825     15 N     20060321T1737  D      
7737001070017 143077               DOVE AC RESTAURACION 12X400ML                                          DOVE                           PERSONAL CARE                  7791293007991     12 N     20060703T1108  D      
7737001070017 143100               DOVE SH ILUMINADOR 12X400ML                                            DOVE                           PERSONAL CARE                  7791293007984     12 N     20060703T1108  D      
7737001070017 143101               DOVE SH SUAVIDAD PROGRESIVA 12X400ML                                   DOVE                           PERSONAL CARE                  7791293007977     12 N     20060703T1108  D      
7737001070017 143103               DOVE AC SELLADOR 12X400ML                                              DOVE                           PERSONAL CARE                  7791293008004     12 N     20060703T1108  D      
7737001070017 145189               CIF ANTIG REP ECON DOYP 12X500ML                                       CIF                            HOME CARE                      7791290781849     12 N     20060804T1841  D      
7737001070017 145192               CIF BANOS REP ECON DOYP 12X500ML                                       CIF                            HOME CARE                      7791290781856     12 N     20060804T1841  D      
7737001070017 145193               CIF VIDRIOS REP ECON DOYP 12X500ML                                     CIF                            HOME CARE                      7791290781863     12 N     20060804T1841  D      
7737001070017 145447               HUGGIES ACTIVE SEC ROCKY XXGDE 16X14UN                                 HUGGIES                        KIMBERLY                       7794626910258     16 N     20060321T1737  D      
7737001070017 145589               HUGGIES CLASSIC ABS XGDE 60UN                                          HUGGIES                        KIMBERLY                       7794626909320      1 N     20060412T1351  D      
7737001070017 146236               DOVE DEO ROLLON FRESH TOUCH 12X50ML                                    DOVE                           PERSONAL CARE                       78921429     12 N     20060703T1108  D      
7737001070017 146879               DOVE DEO STICK AP FRESH TOUCH 12X50GR                                  DOVE                           PERSONAL CARE                       75022792     12 N     20060804T1841  D      
7737001070017 146882               DOVE DEO AER AP SILK 12X100GR                                          DOVE                           PERSONAL CARE                  7791293008080     12 N     20060703T1108  D      
7737001070017 146884               DOVE DEO AER AP CLEAR TONE 12X100GR                                    DOVE                           PERSONAL CARE                  7791293008110     12 N     20060703T1108  D      
7737001070017 146885               DOVE DEO AER AP SENSITIVE 12X100GR                                     DOVE                           PERSONAL CARE                  7791293008127     12 N     20060703T1108  D      
7737001070017 146886               DOVE DEO AER AP FRESH TOUCH 12X100GR                                   DOVE                           PERSONAL CARE                  7791293008134     12 N     20060703T1108  D      
7737001070017 146887               DOVE DEO AER AP ORIGINAL 12X100GR                                      DOVE                           PERSONAL CARE                  7791293008141     12 N     20060703T1108  D      
7737001070017 147378               SEDAL CR PEIN RIZOS OBEDIENTES 12X300ML                                SEDAL                          PERSONAL CARE                  7898422746032     12 N     20060804T1841  D      
7737001070017 147386               SEDAL CR PEINAR LISO PERFECTO 12X300ML                                 SEDAL                          PERSONAL CARE                  7898422746063     12 N     20060804T1841  D      
7737001070017 147395               SEDAL CR PEIN ONDAS IRRESIST 12X300ML                                  SEDAL                          PERSONAL CARE                  7898422746070     12 N     20060804T1841  D      
7737001070017 147497               PONDS CR S 6X100GR                                                     PONDS                          PERSONAL CARE                  7501056326142      6 N     20060321T1737  A      
7737001070017 147498               PONDS CR BIOHIDRATANTE 6X100GR                                         PONDS                          PERSONAL CARE                  7501056330330      6 N     20060321T1737  A      
7737001070017 147508               PONDS CR REJUVENESS 6X100GR                                            PONDS                          PERSONAL CARE                  7501056330491      6 N     20060321T1737  A      
7737001070017 147510               PONDS CR C 6X100GR                                                     PONDS                          PERSONAL CARE                  7501056324889      6 N     20060321T1737  A      
7737001070017 147511               PONDS CR C 6X50GR                                                      PONDS                          PERSONAL CARE                  7501056326265      6 N     20060321T1737  A      
7737001070017 147512               PONDS CR HN 6X50GR                                                     PONDS                          PERSONAL CARE                  7501056330774      6 N     20060321T1737  D      
7737001070017 147523               PONDS CR REJUVENESS 6X50GR                                             PONDS                          PERSONAL CARE                  7501056330484      6 N     20060321T1737  A      
7737001070017 147525               PONDS CR S 6X50GR                                                      PONDS                          PERSONAL CARE                  7501056325442      6 N     20060321T1737  A      
7737001070017 147526               PONDS CR BIOHIDRATANTE 6X50GR                                          PONDS                          PERSONAL CARE                  7501056330323      6 N     20060321T1737  A      
7737001070017 147539               VIVERE SUAVIZ FRESC DIA DIA DOYP12X900ML                               VIVERE                         HOME CARE                      7791290007970     12 N     20060523T1419  D      
7737001070017 147638               COMFORT SUAVIZ CLASSIC DOYP 12X900ML                                   COMFORT                        HOME CARE                      7791290007987     12 N     20060523T1419  D      
7737001070017 148564               LIGHTDAYS P D MULTIFORMA S/PERF 12X80UN                                DAYS                           KIMBERLY                       7793620923288     12 N     20060331T1706  D      
7737001070017 148568               LIGHTDAYS P D MULTIFORMA C/ALAS 48X20UN                                DAYS                           KIMBERLY                       7793620923301     48 N     20060331T1706  D      
7737001070017 148584               AXE DEO AER FRAG COMBINABLES 6X2X113GR                                 AXE                            PERSONAL CARE                  7791293008486      6 N     20060703T1108  D      
7737001070017 148634               LUX  JAB PROVOCATEUR 72X125GR                                          LUX                            PERSONAL CARE                  7791293008264     72 N     20070302T1801  D      
7737001070017 14867                REXONA DEO ROLLON BAMBOO 12X53GR (50ML)                                REXONA.                        PERSONAL CARE                       78915220     12 N     20031027T1551  D      
7737001070017 148746               SCOTT PAPEL HIG PLUS PRACTICO 24X40UN                                  SCOTT                          KIMBERLY                       7751493002103     24 N     20060505T1705  D      
7737001070017 148990               HUGGIES TOALLA HU N C RNAC FLIPTOP 24X50                               HUGGIES                        KIMBERLY                       7896018700192     24 N     20060406T0923  D      
7737001070017 149037               HUGGIES ACT FRESH CAMOMILA FLIPTOP 24X50                               HUGGIES                        KIMBERLY                       7896018700239     24 N     20060711T1542  D      
7737001070017 149040               MIMOSA P D 40X40UN                                                     MIMOSA                         KIMBERLY                       7736550002753     40 N     20060407T1711  A      
7737001070017 149044               MIMOSA P D 60X20UN                                                     MIMOSA                         KIMBERLY                       7806550813205     60 N     20060407T1711  A      
7737001070017 149734               SUAVE AC MANZANA VERDE 8X930ML                                         SUAVE                          PERSONAL CARE                  7791293008394      8 N     20060901T1626  A      
7737001070017 149736               SUAVE AC MULTIVITAMINAS E Y B 8X930ML                                  SUAVE                          PERSONAL CARE                  7791293008400      8 N     20060901T1626  A      
7737001070017 149742               SUAVE AC MELON HIDRATANTE 8X930ML                                      SUAVE                          PERSONAL CARE                  7791293008387      8 N     20060901T1626  D      
7737001070017 149744               SUAVE AC COCO NUTRITIVO 8X930ML                                        SUAVE                          PERSONAL CARE                  7791293008370      8 N     20060901T1626  D      
7737001070017 149746               SUAVE SH COCO NUTRITIVO 8X930ML                                        SUAVE                          PERSONAL CARE                  7791293008325      8 N     20060901T1626  D      
7737001070017 149748               SUAVE SH MELON HIDRATANTE 8X930ML                                      SUAVE                          PERSONAL CARE                  7791293008332      8 N     20060901T1626  D      
7737001070017 149750               SUAVE SH MANZANA VERDE 8X930ML                                         SUAVE                          PERSONAL CARE                  7791293008349      8 N     20060901T1626  A      
7737001070017 149751               SUAVE SH MULTIVITAMINAS E Y B 8X930ML                                  SUAVE                          PERSONAL CARE                  7791293008356      8 N     20060901T1626  A      
7737001070017 149753               SEDAL SH ONDAS IRRESISTIBLES 12X200ML                                  SEDAL                          PERSONAL CARE                  7791293008271     12 N     20060804T1841  D      
7737001070017 149758               SEDAL SH ONDAS IRRESISTIBLES 12X350ML                                  SEDAL                          PERSONAL CARE                  7791293008288     12 N     20060804T1841  D      
